track_name,track_id,artist_name,artist_id,album_name,album_id,release_date,duration_ms,popularity,lyrics,matched_url
Camelo,1S1zfMmAnKCDCfRRNmf8z8,Tom Zé,1gIa65d5ICT2xVWiUJ3u27,Grande Liquidacao,7jgDYAIb8nboWnhuvZOC9Q,1968,136920,0,"Em 1965, um grupo de teatro da Bahia - 65, mais ou menos - montou ""O Caixeiro de Taverna"", de Martins Pena
Mmm, os personganes foram mais ou menos-- foram atualizados
Um português - esse tinha no texto original - vivia se queixando que estava no Brasil há 10 anos e ainda não tinha ficado rico
Enquanto isso, um camelô Brasil - campado da vida - ia todo dia no armazém do português e ouvia essa missa
Um dia, o camelô... Danado da vida... (Danado pode dizer em disco, não pode?) Danado da vida, virou pro português e disse assim:
Ó português--
Peraí, peraí
Mmm, patatá
Ó português, pare de uma vez
De se queixar assim
Da sua sorte ruim
Eu que sou filho daqui, sou camelô
E você vem das Portugas, querendo ser doutor
Mas que horror
Calcule só
O que é viver o tempo todo
Perseguido pelo rapa
Porque na hora da corrida
Quem não sabe usar as pernas
Vai ficar sem ter comida
E veja lá

Farinha seca quantas vezes me faltou
A carne na minha bóia
É coisa rara, sim senhor
Lá em casa não tem água nas torneiras
E vá logo sabendo
Lá também não tem torneira
Não vou mais em festas
Casamento ou batizado
Pois o meu guarda-roupa
Anda um pouco desfalcado
E quando chega o carnaval tão animado
Pra comprar fantasia
Faço um abaixo-assinado
E ainda tem assinante
Que é na base do fiado",https://genius.com/Tom-ze-camelo-lyrics
O Homem,6GBiuMBUpyaqqKqvDyzQjo,Raul Seixas,7jrRQZg4FZq6dwpi3baKcu,Há 10 Mil Anos Atrás,4olOj6yjNB49NOej2lZynI,1976,182333,37,"Vou voltar
Sei que no chegou a hora de ir embora
Melhor ficar
Sei que tem gente cantando
Tem gente esperando a hora de chegar
Chego com as guas turvas
Eu fiz tantas curvas pra poder cantar
Esse meu canto que no presta
Que tanta gente detesta
Mas isto tudo que me resta
Nesta festa, nesta festa
Vou ferver
Como que um vulco em chamas
Como a tua cama que me faz tremer
Vou tremer
Como um cho de terremotos
Como o amor remoto que eu no sei viver
Vou viver
Vou poder contar meus filhos
Caminhar nos trilhos, isto pra valer
Pois se uma estrela h de brilhar
Outra ento tem que se apagar
Quero estar vivo pra ver
O sol nascer, o sol nascer, o sol nascer
Vou subir
Pelo elevador dos fundos
Que carrega mundos sem querer sentir
Vou sentir
Que a minha dor no peito
Que escondi direito agora vai surgir
Vou surgir
Numa tempestade doida
Pra varrer as ruas em que vou seguir
Em que vou seguir, em que vou seguir
Andr Velloso - Rio de Janeiro, Brazil
Alv@domain. Com. Br - alvnet@altavista. Net",https://genius.com/Raul-seixas-o-homem-lyrics
Mal Secreto,4Opw57Q7Zt1BsoB5BWIqPt,Gal Costa,1b8kpp4DUwt1hWaxTiWQhD,Gal A Todo Vapor (Live),5jO7LxFHE6hQr7an8IcBCs,1971-03-19,302080,28,"Não choro
Meu segredo é que sou rapaz esforçado
Fico parado, calado, quieto
Não corro, não choro, não converso
Massacro meu medo
Mascaro minha dor
Já sei sofrer
Não preciso de gente que me oriente
Se você me pergunta:
— Como vai?
Respondo sempre igual:
— Tudo legal
Mas quando você vai embora
Movo meu rosto do espelho
Minha alma chora
Vejo o Rio de Janeiro
Vejo o Rio de Janeiro
Comovo, não salvo, não mudo
Meu sujo olho vermelho
Não fico parado, não fico calado, não fico quieto
Corro, choro, converso
E tudo mais jogo num verso
Intitulado ""Mal Secreto""
E tudo mais jogo num verso
Intitulado ""Mal Secreto""
E tudo mais

Não choro
Meu segredo é que sou rapaz esforçado
Fico parado, calado, quieto
Não corro, não choro, não converso
Massacro meu medo
Mascaro minha dor
Já sei sofrer
Não preciso de gente que me oriente
Se você me pergunta:
— Como vai?
Respondo sempre igual:
— Tudo legal
Mas quando você vai embora
Movo meu rosto do espelho
Minha alma chora
Vejo o Rio de Janeiro
Vejo o Rio de Janeiro",https://genius.com/Gal-costa-mal-secreto-lyrics
Ui Você inventa,2zaW4sS2teW6rp4auAoj2M,Tom Zé,1gIa65d5ICT2xVWiUJ3u27,Estudando o samba,2jOgajtpXNsinBpwg2dUjH,1976-01-01,180960,28,"Você inventa
Grite!
Eu invento
Ai!
Você inventa
Chore!
Eu invento
Ui!
Você inventa o luxo
Eu invento o lixo
Você inventa o amor
Eu invento a solidão
Você inventa o amor
Eu invento a solidão
Você inventa
Grite!
Eu invento
Ai!
Você inventa
Chore!
Eu invento
Ui!
Você inventa o luxo
Eu invento o lixo
Você inventa o amor
Eu invento a solidão
Você inventa o amor
Eu invento a solidão

Você inventa a lei
E eu invento a obediência
Você inventa a deus
E eu invento a fé
Você inventa o trabalho
E eu invento as mãos
Você inventa o peso
E eu invento as costas
Você inventa a outra vida
Eu invento a resignação
Você inventa o pecado
E eu fico aqui no inferno
Meu Deus, no inferno
Valha-me Deus
Você inventa
Grite!
Eu invento
Ai!
Você inventa
Chore!
Eu invento
Ui!
Você inventa o luxo
Eu invento o lixo
Você inventa o amor
Eu invento a solidão
Você inventa o amor
Eu invento a solidão
Você inventa o amor
Eu invento a solidão
Você inventa o amor
Eu invento a solidão
Você inventa o amor
Eu invento a solidão",https://genius.com/Tom-ze-ui-voce-inventa-lyrics
Não há cabeça,3OY5Usstv0ooMRK4FFfp9y,Ney Matogrosso,2SFIMUkCdZowbeisskDdhn,Sujeito Estranho (1980),6SO9Yfh33oVqDadjFIE9wm,1980,250866,11,"
Não há cabeça que o coração não mande
Nem há amor que o ódio não desande
Não há rancor que o perdão não esqueça
Nem humor que nunca se aborreça
Não há bebida que beba a saudade
Nem maldade que vença a maldade
Não há princípio que resista ao fim
Nem temor ou medo que resida em mim
Eu fui, eu vou te amar vivendo
Eu fui, eu vim do desamor morrendo
E essa tristeza que o amor me dеu
É a coisa mais bonita dentro do meu eu
Quе bom, que bom que nunca vai haver talvez
Pra quem tudo na vida sentiu, disse e fez
Prefiro ficar só com a minha ilusão
Que matar a esperança de amar no meu coração
Eu fui, eu vou te amar vivendo
Eu fui, eu vim do desamor morrendo
E essa tristeza que o amor me deu
É a coisa mais bonita dentro do meu eu

Que bom, que bom que nunca vai haver talvez
Pra quem tudo na vida sentiu, disse e fez
Prefiro ficar só com a minha ilusão
Que matar a esperança de amar no meu coração",https://genius.com/Ney-matogrosso-nao-ha-cabeca-lyrics
Doce Vampiro,3D4DHhAaDKRgq8oBn8l5yc,Rita Lee,7dnT2FUXhjirperXaH22IJ,Rita Lee,50grT4Iw3RbK8ZGnGWwk4Z,1979-01-02,268960,35,"Venha sugar o calor
De dentro do meu sangue... vermelho
Tão vivo, tão eterno... veneno
Que mata sua sede
Que me bebe quente
Como um licor
Brindando a morte e fazendo amor

Meu doce vampiro
Oh-uh, oh-uh
Na luz do luar
Ah-ah

Me acostumei com você
Sempre reclamando... da vida
Me ferindo, me curando... a ferida
Mas nada disso importa
Vou abrir a porta
Pra você entrar
Beijar minha boca
Até me matar

Shalalalá
Oh-uh, oh-uh
Shalalalalá
Ah-ah

Me acostumei com você
Sempre reclamando... da vida
Me ferindo, me curando... a ferida
Mas nada disso importa
Vou abrir a porta
Pra você entrar
Beijar minha boca
Até me matar de amor

Ah-ah
Shalalalá
Oh-uh, oh-uh
Shalalalá
Oh-uh, oh-uh
Oh-uh, oh-uh-uh-uh-uh-uh
Oh-uh, oh-uh
Oh-uh, oh-uh-uh-uh-uh-uh
Ah-ah
Ah-ah
Ah-ah
Ah-ah
Ah, shalalalá
Oh-uh, oh-uh
Shalalalá
Oh-uh, oh-uh
Oh-uh, oh-uh-uh-uh-uh-uh
Oh-uh, oh-uh
Oh-uh, oh-uh-uh-uh-uh-uh
Ah-ah
Ah-ah
Ah-ah
Ah-ah",https://genius.com/Rita-lee-doce-vampiro-lyrics
Triste Bahia,6BdLjHFfB1qJULz76tDY7D,Caetano Veloso,7HGNYPmbDrMkylWqeFCOIQ,Transa,4NIGwEvudtT3KZrYPymOmz,1972-01-01,585440,37,"Triste Bahia, oh, quão dessemelhante
Estás e estou do nosso antigo estado
Pobre te vejo a ti, tu a mim empenhado
Rica te vejo eu, já tu a mim abundante
Triste Bahia, oh, quão dessemelhante
A ti tocou-te a máquina mercante
Que em tua larga barra tem entrado
A mim vem me trocando e tem trocado
Tanto negócio e tanto negociante
Triste, oh, quão dessemelhante, triste
Pastinha já foi à África
Pastinha já foi à África
Pra mostrar capoeira do Brasil
Eu já vivo tão cansado
De viver aqui na Terra
Minha mãe, eu vou pra lua
Eu mais a minha mulher
Vamos fazer um ranchinho
Todo feito de sapê
Minha mãe eu vou pra lua
E seja o que Deus quiser
Triste, oh, quão dessemelhante
Ê, ô, galo canta
O galo cantou, camará
Ê, cocorocô, ê cocorocô, camará
Ê, vamo-nos embora, ê vamo-nos embora camará
Ê, pelo mundo afora, ê pelo mundo afora camará
Ê, triste Bahia, ê, triste Bahia, camará
Bandeira branca enfiada em pau forte

Afoxé leî, leî, leô
Bandeira branca, bandeira branca enfiada em pau forte
O vapor da cachoeira não navega mais no mar
Triste Recôncavo, oh, quão dessemelhante
Maria pé no mato é hora
Arriba a saia e vamo-nos embora
Pé dentro, pé fora, quem tiver pé pequeno vai embora
Oh, virgem mãe puríssima
Bandeira branca enfiada em pau forte
Trago no peito a estrela do norte
Bandeira branca enfiada em pau forte
Bandeira…",https://genius.com/Caetano-veloso-triste-bahia-lyrics
Fica,6oMQ93B37J9fC3yxjQ061l,Chico Buarque,6tOsSffQQIXmK8TqsDck8t,Os Primeiros Clássicos,2b3Lz0g3F99wVCz7GemM14,1979,146866,24,"Diz que eu não sou de respeito
Diz que não dá jeito
De jeito nenhum
Diz que eu sou subversivo
Um elemento ativo
Feroz e nocivo
Ao bem-estar comum
Fale do nosso barraco
Diga que é um buraco
Que nem queiram ver
Diga que o meu samba é fraco
E que eu não largo o taco
Nem pra conversar com você
Mas fica
Mas fica ao lado meu
Você sai e não explica
Onde vai e a gente fica
Sem saber se vai voltar
Diga ao primeiro que passa
Que eu sou da cachaça
Mais do que do amor
Diga e diga de pirraça
De raiva ou de graça
No meio da praça, é favor
Mas fica
Mas fica ao lado meu
Você sai e não explica
Onde vai e a gente fica
Sem saber se vai voltar

Diz que eu ganho até folgado
Mas perco no dado
E não lhe dou vintém
Diz que é pra tomar cuidado
Sou um desajustado
E o que bem lhe agrada, meu bem
Mas fica
Mas fica, meu amor
Quem sabe um dia
Por descuido ou poesia
Você goste de ficar",https://genius.com/Chico-buarque-fica-lyrics
Soy Loco Por Ti América,5zitPHwFth0QZji0s7Q9uP,Caetano Veloso,7HGNYPmbDrMkylWqeFCOIQ,Caetano Veloso,3idXLXoZDLQyxAHF97yguf,1967-01-01,223866,34,"Soy loco por ti, América
Yo voy traer una mujer playera
Que su nombre sea Marti
Que su nombre sea Marti
Soy loco por ti de amores
Tenga como colores la espuma blanca de Latinoamérica
Y el cielo como bandera
Y el cielo como bandera
Soy loco por ti, América
Soy loco por ti de amores
Soy loco por ti, América
Soy loco por ti de amores
Sorriso de quase nuvem
Os rios, canções, o medo
O corpo cheio de estrelas
O corpo cheio de estrelas
Como se chama a amante desse país sem nome
Esse tango, esse rancho, esse povo, dizei-me, arde
O fogo de conhecê-la
O fogo de conhecê-la
Soy loco por ti, América
Soy loco por ti de amores
Soy loco por ti, América
Soy loco por ti de amores

El nombre del hombre muerto
Ya no se puede decirlo, quem sabe?
Antes que o dia arrebente
Antes que o dia arrebente
El nombre del hombre muerto
Antes que a definitiva
Noite se espalhe en Latinoamérica
El nombre del hombre es pueblo
El nombre del hombre es pueblo
Soy loco por ti, América
Soy loco por ti de amores
Soy loco por ti, América
Soy loco por ti de amores
Espero um amanhã que cante
El nombre del hombre muerto
Não sejam palavras tristes
Soy loco por ti de amores
Um poema ainda existe
Com palmeiras, com trincheiras
Canções de guerra, quem sabe, canções do mar
Ay, hasta te comover
Ay, hasta te comover

Soy loco por ti, América
Soy loco por ti de amores
Soy loco por ti, América
Soy loco por ti de amores
Estou aqui de passagem
Sei que adiante, um dia, vou morrer
De susto, de bala ou vício
De susto, de bala ou vício
Num precipício de luzes
Entre saudades, soluços
Eu vou morrer de bruços, nos braços, nos olhos
Nos braços de uma mulher
Nos braços de uma mulher
Mais apaixonado ainda
Dentro dos braços da camponesa
Guerrilheira, manequim, ai de mim
Nos braços de quem me queira
Nos braços de quem me queira
Soy loco por ti, América
Soy loco por ti de amores
Soy loco por ti, América
Soy loco por ti de amores

Soy loco por ti, América
Soy loco por ti de amores
Soy loco por ti, América
Soy loco por ti de amores",https://genius.com/Caetano-veloso-soy-loco-por-ti-america-lyrics
Saudosa Maloca,2lWmqGC70SKMebW1HgPGkA,Adoniran Barbosa,7vTlV3ajnMxl5l0ahupUeP,Adoniran Barbosa,034ir9swD9gSpQNsfu9Ri4,1974-08-05,143666,58,"Se o senhor não está lembrado, dá licença de contar
Que aqui onde agora está esse ""adifício"" alto
Era uma casa velha, um palacete abandonado
Foi aqui, seu moço
Que eu, Mato Grosso e o Joca
Construímos nossa maloca
Mas um dia, nem quero me lembrar
Veio os homens com as ferramentas
O dono mandou derrubar
Peguemo' tudo a nossas coisas
E fumos pro meio da rua apreciar a demolição
Que tristeza que eu sentia
Cada ""táuba"" que caía doía no coração
Mato Grosso quis gritar, mas em cima eu falei:
""Os homens tá com a razão, nóis arranja outro lugar!""
Só se conformemos quando o Joca falou:
""Deus dá o frio conforme o cobertor""
E hoje nóis pega páia nas grama' do jardim
E pra esquecer, nóis cantemos assim:

Saudosa maloca, maloca querida
Dim-dim d'onde nóis passemo' os dias feliz' de nossa vida
Saudosa maloca, maloca querida
Dim-dim d'onde nóis passemo' os dias feliz' de nossa vida
Saudosa maloca, maloca querida
Dim-dim d'onde nóis passemo' os dias feliz' de nossa vida
Saudosa maloca, maloca querida
Dim-dim d'onde nóis passemo' os dias feliz' de nossa vida",https://genius.com/Adoniran-barbosa-saudosa-maloca-lyrics
